Div,Date,home_away,team,score,opp_score,Pts,win,goal_diff,points_running,gd_running,wins_running,match_count
Liga 1,24/07/2022,Home,Sepsi Sf. Gheorghe,4,0,3,1,4,4,4,1,2
Liga 1,24/07/2022,Away,FC Arges,0,4,0,0,-4,3,-2,1,2
Liga 1,24/07/2022,Home,U Craiova 1948,3,1,3,1,2,3,1,1,2
Liga 1,24/07/2022,Away,CFR Cluj,1,3,0,0,-2,3,-1,1,2
Liga 1,24/07/2022,Home,U. Cluj,1,1,1,0,0,2,0,0,2
Liga 1,24/07/2022,Away,Univ. Craiova,1,1,1,0,0,2,0,0,2
Liga 1,24/07/2022,Home,FC Rapid Bucuresti,2,0,3,1,2,3,1,1,2
Liga 1,24/07/2022,Away,FCSB,0,2,0,0,-2,1,-2,0,2
Liga 1,25/07/2022,Home,Chindia Targoviste,1,1,1,0,0,1,-1,0,2
Liga 1,25/07/2022,Away,FC Hermannstadt,1,1,1,0,0,4,3,1,2
Liga 1,25/07/2022,Home,UTA Arad,2,0,3,1,2,3,0,1,2
Liga 1,25/07/2022,Away,Petrolul,0,2,0,0,-2,0,-3,0,2
Liga 1,29/07/2022,Home,FC Arges,3,1,3,1,2,6,0,2,3
Liga 1,29/07/2022,Away,U. Cluj,1,3,0,0,-2,2,-2,0,3
Liga 1,29/07/2022,Home,Farul Constanta,0,0,1,0,0,7,3,2,3
Liga 1,29/07/2022,Away,Chindia Targoviste,0,0,1,0,0,2,-1,0,3
Liga 1,30/07/2022,Home,FC Voluntari,3,0,3,1,3,6,3,2,3
Liga 1,30/07/2022,Away,UTA Arad,0,3,0,0,-3,3,-3,1,3
Liga 1,30/07/2022,Home,CFR Cluj,4,2,3,1,2,6,1,2,3
Liga 1,30/07/2022,Away,Mioveni,2,4,0,0,-2,0,-7,0,3
Liga 1,31/07/2022,Home,Petrolul,1,1,1,0,0,1,-3,0,3
Liga 1,31/07/2022,Away,Sepsi Sf. Gheorghe,1,1,1,0,0,5,4,1,3
Liga 1,31/07/2022,Home,Univ. Craiova,0,1,0,0,-1,2,-1,0,3
Liga 1,31/07/2022,Away,FC Rapid Bucuresti,1,0,3,1,1,6,2,2,3
Liga 1,31/07/2022,Home,FCSB,1,1,1,0,0,2,-2,0,3
Liga 1,31/07/2022,Away,U Craiova 1948,1,1,1,0,0,4,1,1,3
Liga 1,01/08/2022,Home,FC Hermannstadt,1,1,1,0,0,5,3,1,3
Liga 1,01/08/2022,Away,FC Botosani,1,1,1,0,0,7,2,2,3
Liga 1,05/08/2022,Home,U. Cluj,0,1,0,0,-1,2,-3,0,4
Liga 1,05/08/2022,Away,Petrolul,1,0,3,1,1,4,-2,1,4
Liga 1,06/08/2022,Home,Mioveni,1,1,1,0,0,1,-7,0,4
Liga 1,06/08/2022,Away,FCSB,1,1,1,0,0,3,-2,0,4
Liga 1,06/08/2022,Home,FC Rapid Bucuresti,2,1,3,1,1,9,3,3,4
Liga 1,06/08/2022,Away,FC Arges,1,2,0,0,-1,6,-1,2,4
Liga 1,07/08/2022,Home,Sepsi Sf. Gheorghe,0,0,1,0,0,6,4,1,4
Liga 1,07/08/2022,Away,UTA Arad,0,0,1,0,0,4,-3,1,4
Liga 1,07/08/2022,Home,Chindia Targoviste,0,2,0,0,-2,2,-3,0,4
Liga 1,07/08/2022,Away,CFR Cluj,2,0,3,1,2,9,3,3,4
Liga 1,07/08/2022,Home,U Craiova 1948,1,2,0,0,-1,4,0,1,4
Liga 1,07/08/2022,Away,Univ. Craiova,2,1,3,1,1,5,0,1,4
Liga 1,08/08/2022,Home,FC Hermannstadt,2,1,3,1,1,8,4,2,4
Liga 1,08/08/2022,Away,FC Voluntari,1,2,0,0,-1,6,2,2,4
Liga 1,08/08/2022,Home,FC Botosani,1,1,1,0,0,8,2,2,4
Liga 1,08/08/2022,Away,Farul Constanta,1,1,1,0,0,8,3,2,4
Liga 1,12/08/2022,Home,FC Arges,0,2,0,0,-2,6,-3,2,5
Liga 1,12/08/2022,Away,U Craiova 1948,2,0,3,1,2,7,2,2,5
Liga 1,13/08/2022,Home,UTA Arad,2,1,3,1,1,7,-2,2,5
Liga 1,13/08/2022,Away,U. Cluj,1,2,0,0,-1,2,-4,0,5
Liga 1,13/08/2022,Home,Petrolul,1,0,3,1,1,7,-1,2,5
Liga 1,13/08/2022,Away,FC Rapid Bucuresti,0,1,0,0,-1,9,2,3,5
